updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2024-05-10T12:37:04.661618+0000,6c5680c73cbf8681d0b036fa54f602c0,6220800,/data_local/images/DTS/2023B-851374/DECam_01291323.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_010049_ood_r_v1.fits.fz,1.19,"{'gte': 122.91220833333331, 'lte': 122.91220833343331}","{'gte': -17.081305555555556, 'lte': -17.081305555455558}",122.91220833333331,-17.081305555555556,r DECam SDSS c0002 6415.0 1480.0,0.99,23.18,60.0,1291323,2024-04-23,2024-04-23T01:00:49.555168+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-22,"[None, None]"
2024-05-10T13:23:54.596481+0000,a42c93e2838bc0360038eff908f6aeb1,325857600,/data_local/images/DTS/2023B-851374/DECam_01291382.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_023340_ooi_z_gw.fits.fz,1.49,"{'gte': 124.20799583333334, 'lte': 124.20799583343334}","{'gte': -26.021, 'lte': -26.020999999900003}",124.20799583333334,-26.021,z DECam SDSS c0004 9260.0 1520.0,1.22,,60.0,1291382,2024-04-23,2024-04-23T02:33:40.749362+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-22,"[None, None]"
2024-05-10T12:23:39.497105+0000,017bfa394da48e109789f6c2bb722200,267926400,/data_local/images/DTS/2023B-851374/DECam_01291305.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_003204_oow_r_v1.fits.fz,1.09,"{'gte': 120.77704166666666, 'lte': 120.77704166676666}","{'gte': -34.280388888888886, 'lte': -34.280388888788885}",120.77704166666666,-34.280388888888886,r DECam SDSS c0002 6415.0 1480.0,1.25,22.9,60.0,1291305,2024-04-23,2024-04-23T00:32:04.061950+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-12383-1,instcal,wtmap,,2024-04-22,"[None, None]"
2024-05-10T12:27:05.584090+0000,6d18e6bc4037f002652442ac6fd51467,5287680,/data_local/images/DTS/2023B-851374/DECam_01291310.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_004035_ood_r_gw.fits.fz,1.13,"{'gte': 127.48126666666664, 'lte': 127.48126666676664}","{'gte': -12.138, 'lte': -12.1379999999}",127.48126666666664,-12.138,r DECam SDSS c0002 6415.0 1480.0,1.27,,60.0,1291310,2024-04-23,2024-04-23T00:40:35.201860+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-14355-1,instcal,dqmask,,2024-04-22,"[None, None]"
2024-05-10T01:28:53.274569+0000,a6805142c0565a1b3c8b35f1e58c31b3,328173120,/data_local/images/DTS/2023B-851374/DECam_01292261.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240424_235314_ooi_r_v1.fits.fz,1.06,"{'gte': 121.1545, 'lte': 121.1545000001}","{'gte': -22.45997222222222, 'lte': -22.45997222212222}",121.1545,-22.45997222222222,r DECam SDSS c0002 6415.0 1480.0,1.0,23.42,60.0,1292261,2024-04-24,2024-04-24T23:53:14.465002+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-24,"[None, None]"
2024-05-10T09:05:49.615432+0000,a6a5f70173f8d8777cb9d4baa514301b,326413440,/data_local/images/DTS/2023B-851374/DECam_01291991.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_021215_ooi_z_v1.fits.fz,1.52,"{'gte': 120.6395833333333, 'lte': 120.63958333343331}","{'gte': -20.891583333333333, 'lte': -20.891583333233335}",120.6395833333333,-20.891583333333333,z DECam SDSS c0004 9260.0 1520.0,1.12,22.93,80.0,1291991,2024-04-24,2024-04-24T02:12:15.302930+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-23,"[None, None]"
2024-05-10T02:25:34.157508+0000,a6dc267a80a2daac2f0bd216a73e6f30,322977600,/data_local/images/DTS/2023B-851374/DECam_01292325.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240425_013706_ooi_z_v1.fits.fz,1.27,"{'gte': 125.87416666666664, 'lte': 125.87416666676664}","{'gte': -20.499666666666666, 'lte': -20.499666666566668}",125.87416666666664,-20.499666666666666,z DECam SDSS c0004 9260.0 1520.0,1.02,22.58,60.0,1292325,2024-04-25,2024-04-25T01:37:06.574002+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-24,"[None, None]"
2024-05-10T02:37:11.630894+0000,a7632eb961c8cb99feb8117689cded8b,269786880,/data_local/images/DTS/2023B-851374/DECam_01292340.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240425_020114_oow_z_gw.fits.fz,1.38,"{'gte': 123.64525416666663, 'lte': 123.64525416676663}","{'gte': -24.45, 'lte': -24.4499999999}",123.64525416666663,-24.45,z DECam SDSS c0004 9260.0 1520.0,1.09,,60.0,1292340,2024-04-25,2024-04-25T02:01:14.209896+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS,instcal,wtmap,,2024-04-24,"[None, None]"
2024-05-10T08:41:29.678541+0000,a8795d9f13e1f464f930f35bae73721c,268502400,/data_local/images/DTS/2023B-851374/DECam_01291960.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_011255_oow_r_gw.fits.fz,1.17,"{'gte': 122.91245833333332, 'lte': 122.91245833343332}","{'gte': -34.772, 'lte': -34.7719999999}",122.91245833333332,-34.772,r DECam SDSS c0002 6415.0 1480.0,1.19,,60.0,1291960,2024-04-24,2024-04-24T01:12:55.847240+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,wtmap,,2024-04-23,"[None, None]"
2024-05-10T09:03:19.376518+0000,a8d0ec0bc50a17fe8dcdad8549b0bc11,7387200,/data_local/images/DTS/2023B-851374/DECam_01291988.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_020629_ood_z_v1.fits.fz,1.42,"{'gte': 123.95874999999998, 'lte': 123.95875000009998}","{'gte': -20.16222222222222, 'lte': -20.16222222212222}",123.95874999999998,-20.16222222222222,z DECam SDSS c0004 9260.0 1520.0,1.1,22.96,80.0,1291988,2024-04-24,2024-04-24T02:06:29.835980+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-23,"[None, None]"
2024-05-10T01:57:34.857886+0000,0272a6702c9790943bd5c4dc3cd27cf3,8706240,/data_local/images/DTS/2023B-851374/DECam_01292293.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240425_004501_ood_r_v1.fits.fz,1.1,"{'gte': 124.40529166666664, 'lte': 124.40529166676664}","{'gte': -33.59841666666667, 'lte': -33.59841666656667}",124.40529166666664,-33.59841666666667,r DECam SDSS c0002 6415.0 1480.0,0.98,23.35,60.0,1292293,2024-04-25,2024-04-25T00:45:01.911763+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-24,"[None, None]"
2024-05-10T12:05:46.737743+0000,02faaa682a57d75d968ff8e161c4539a,8406720,/data_local/images/DTS/2023B-851374/DECam_01291285.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240422_235929_ood_r_gw.fits.fz,1.05,"{'gte': 120.5292458333333, 'lte': 120.52924583343331}","{'gte': -28.323999999999998, 'lte': -28.3239999999}",120.5292458333333,-28.323999999999998,r DECam SDSS c0002 6415.0 1480.0,1.04,,60.0,1291285,2024-04-22,2024-04-22T23:59:29.594631+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-14434-1,instcal,dqmask,,2024-04-22,"[None, None]"
2024-05-10T09:09:26.398684+0000,aa679cc5673d7dbb44a27ee406d846a4,323573760,/data_local/images/DTS/2023B-851374/DECam_01291995.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_022009_ooi_z_gw.fits.fz,1.44,"{'gte': 125.63125416666666, 'lte': 125.63125416676667}","{'gte': -22.043000000000003, 'lte': -22.042999999900005}",125.63125416666666,-22.043000000000003,z DECam SDSS c0004 9260.0 1520.0,1.16,,80.0,1291995,2024-04-24,2024-04-24T02:20:09.056948+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS DELVE-14418-1,instcal,image,,2024-04-23,"[None, None]"
2024-05-10T08:41:10.254532+0000,aa7c0f446cbcbc8ebfe5f4d842d7d1f2,7202880,/data_local/images/DTS/2023B-851374/DECam_01291960.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_011255_ood_r_gw.fits.fz,1.17,"{'gte': 122.91245833333332, 'lte': 122.91245833343332}","{'gte': -34.772, 'lte': -34.7719999999}",122.91245833333332,-34.772,r DECam SDSS c0002 6415.0 1480.0,1.19,,60.0,1291960,2024-04-24,2024-04-24T01:12:55.847240+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-23,"[None, None]"
2024-05-10T08:06:36.739626+0000,aae1563371d4bd70a4b4814c5f108a71,266616000,/data_local/images/DTS/2023B-851374/DECam_01291923.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_001203_oow_r_v1.fits.fz,1.04,"{'gte': 128.15020833333332, 'lte': 128.1502083334333}","{'gte': -23.88211111111111, 'lte': -23.882111111011113}",128.15020833333332,-23.88211111111111,r DECam SDSS c0002 6415.0 1480.0,1.23,22.77,60.0,1291923,2024-04-24,2024-04-24T00:12:03.309490+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS DELVE-14460-1,instcal,wtmap,,2024-04-23,"[None, None]"
2024-05-10T12:28:47.142522+0000,ab16c8c5eb4c573cf60519b840301a5c,320708160,/data_local/images/DTS/2023B-851374/DECam_01291312.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_004340_ooi_r_gw.fits.fz,1.14,"{'gte': 126.16527083333331, 'lte': 126.16527083343331}","{'gte': -13.423, 'lte': -13.4229999999}",126.16527083333331,-13.423,r DECam SDSS c0002 6415.0 1480.0,1.2,,60.0,1291312,2024-04-23,2024-04-23T00:43:40.792064+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-14354-1,instcal,image,,2024-04-22,"[None, None]"
2024-05-10T07:50:41.377937+0000,036083663470ea095aaa190ca888dd13,267030720,/data_local/images/DTS/2023B-851374/DECam_01291902.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240423_233749_oow_r_gw.fits.fz,1.05,"{'gte': 121.52829166666663, 'lte': 121.52829166676663}","{'gte': -18.22, 'lte': -18.2199999999}",121.52829166666663,-18.22,r DECam SDSS c0002 6415.0 1480.0,1.1,,60.0,1291902,2024-04-23,2024-04-23T23:37:49.875953+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,wtmap,,2024-04-23,"[None, None]"
