mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.2,1.8,0.8,0.0,0.076,0.076,1.687,1.774,0.0,H4,0.0
2.2,1.9,-0.3,0.0,0.0,0.0,1.735,1.823,0.0,H4,0.0
2.2,1.9,0.0,0.0,0.0,0.0,1.735,1.823,0.0,H4,0.0
2.2,1.9,0.3,0.0,0.0,0.0,1.735,1.823,0.0,H4,0.0
2.2,1.9,0.8,0.0,0.061,0.061,1.735,1.823,0.0,H4,0.0
2.2,2.0,-0.3,0.0,0.0,0.0,1.782,1.869,0.0,H4,0.0
2.2,2.0,0.0,0.0,0.0,0.0,1.782,1.869,0.0,H4,0.0
2.2,2.0,0.3,0.0,0.0,0.0,1.782,1.869,0.0,H4,0.0
2.2,2.0,0.8,0.0,0.04,0.04,1.782,1.869,0.0,H4,0.0
2.3,1.2,-0.3,0.018,0.015,0.033,1.385,1.477,0.0,H4,0.0
2.3,1.2,0.0,0.023,0.029,0.052,1.385,1.477,0.0,H4,0.0
2.3,1.2,0.3,0.029,0.048,0.077,1.385,1.477,0.0,H4,0.0
2.3,1.2,0.8,0.041,0.099,0.14,1.385,1.477,0.0,H4,0.0
2.3,1.3,-0.3,0.009,0.011,0.019,1.448,1.539,0.0,H4,0.0
2.3,1.3,0.0,0.014,0.024,0.038,1.448,1.539,0.0,H4,0.0
2.3,1.3,0.3,0.019,0.045,0.064,1.448,1.539,0.0,H4,0.0
2.3,1.3,0.8,0.03,0.101,0.131,1.448,1.539,0.0,H4,0.0
2.3,1.4,-0.3,0.0,0.007,0.007,1.507,1.598,0.0,H4,0.0
2.3,1.4,0.0,0.005,0.019,0.024,1.507,1.598,0.0,H4,0.0
2.3,1.4,0.3,0.01,0.04,0.049,1.507,1.598,0.0,H4,0.0
2.3,1.4,0.8,0.02,0.101,0.121,1.507,1.598,0.0,H4,0.0
2.3,1.5,-0.3,0.0,0.002,0.002,1.565,1.654,0.0,H4,0.0
2.3,1.5,0.0,0.0,0.013,0.013,1.565,1.654,0.0,H4,0.0
2.3,1.5,0.3,0.0,0.034,0.035,1.565,1.654,0.0,H4,0.0
2.3,1.5,0.8,0.011,0.098,0.109,1.565,1.654,0.0,H4,0.0
2.3,1.6,-0.3,0.0,0.0,0.0,1.62,1.709,0.0,H4,0.0
2.3,1.6,0.0,0.0,0.006,0.006,1.62,1.709,0.0,H4,0.0
2.3,1.6,0.3,0.0,0.025,0.025,1.62,1.709,0.0,H4,0.0
2.3,1.6,0.8,0.002,0.094,0.096,1.62,1.709,0.0,H4,0.0
2.3,1.7,-0.3,0.0,0.0,0.0,1.673,1.762,0.0,H4,0.0
2.3,1.7,0.0,0.0,0.0,0.0,1.673,1.762,0.0,H4,0.0
2.3,1.7,0.3,0.0,0.016,0.016,1.673,1.762,0.0,H4,0.0
2.3,1.7,0.8,0.0,0.086,0.086,1.673,1.762,0.0,H4,0.0
2.3,1.8,-0.3,0.0,0.0,0.0,1.725,1.813,0.0,H4,0.0
2.3,1.8,0.0,0.0,0.0,0.0,1.725,1.813,0.0,H4,0.0
2.3,1.8,0.3,0.0,0.007,0.007,1.725,1.813,0.0,H4,0.0
2.3,1.8,0.8,0.0,0.075,0.075,1.725,1.813,0.0,H4,0.0
2.3,1.9,-0.3,0.0,0.0,0.0,1.774,1.862,0.0,H4,0.0
2.3,1.9,0.0,0.0,0.0,0.0,1.774,1.862,0.0,H4,0.0
2.3,1.9,0.3,0.0,0.0,0.0,1.774,1.862,0.0,H4,0.0
2.3,1.9,0.8,0.0,0.061,0.061,1.774,1.862,0.0,H4,0.0
2.3,2.0,-0.3,0.0,0.0,0.0,1.823,1.91,0.0,H4,0.0
2.3,2.0,0.0,0.0,0.0,0.0,1.823,1.91,0.0,H4,0.0
2.3,2.0,0.3,0.0,0.0,0.0,1.823,1.91,0.0,H4,0.0
2.3,2.0,0.8,0.0,0.04,0.04,1.823,1.91,0.0,H4,0.0
2.4,1.2,-0.3,0.019,0.014,0.032,1.413,1.507,0.0,H4,0.0
2.4,1.2,0.0,0.024,0.027,0.052,1.413,1.507,0.0,H4,0.0
2.4,1.2,0.3,0.03,0.046,0.077,1.413,1.507,0.0,H4,0.0
2.4,1.2,0.8,0.043,0.098,0.141,1.413,1.507,0.0,H4,0.0
2.4,1.3,-0.3,0.009,0.01,0.019,1.477,1.569,0.0,H4,0.0
2.4,1.3,0.0,0.014,0.023,0.037,1.477,1.569,0.0,H4,0.0
2.4,1.3,0.3,0.02,0.043,0.063,1.477,1.569,0.0,H4,0.0
2.4,1.3,0.8,0.032,0.099,0.132,1.477,1.569,0.0,H4,0.0
2.4,1.4,-0.3,0.0,0.006,0.006,1.539,1.63,0.0,H4,0.0
2.4,1.4,0.0,0.005,0.018,0.023,1.539,1.63,0.0,H4,0.0
2.4,1.4,0.3,0.011,0.038,0.049,1.539,1.63,0.0,H4,0.0
2.4,1.4,0.8,0.022,0.099,0.121,1.539,1.63,0.0,H4,0.0
2.4,1.5,-0.3,0.0,0.001,0.001,1.598,1.688,0.0,H4,0.0
2.4,1.5,0.0,0.0,0.012,0.012,1.598,1.688,0.0,H4,0.0
2.4,1.5,0.3,0.002,0.033,0.034,1.598,1.688,0.0,H4,0.0
2.4,1.5,0.8,0.013,0.097,0.11,1.598,1.688,0.0,H4,0.0
2.4,1.6,-0.3,0.0,0.0,0.0,1.654,1.744,0.0,H4,0.0
2.4,1.6,0.0,0.0,0.005,0.005,1.654,1.744,0.0,H4,0.0
2.4,1.6,0.3,0.0,0.024,0.024,1.654,1.744,0.0,H4,0.0
2.4,1.6,0.8,0.004,0.093,0.096,1.654,1.744,0.0,H4,0.0
2.4,1.7,-0.3,0.0,0.0,0.0,1.709,1.798,0.0,H4,0.0
2.4,1.7,0.0,0.0,0.0,0.0,1.709,1.798,0.0,H4,0.0
2.4,1.7,0.3,0.0,0.015,0.015,1.709,1.798,0.0,H4,0.0
2.4,1.7,0.8,0.0,0.085,0.085,1.709,1.798,0.0,H4,0.0
2.4,1.8,-0.3,0.0,0.0,0.0,1.762,1.85,0.0,H4,0.0
2.4,1.8,0.0,0.0,0.0,0.0,1.762,1.85,0.0,H4,0.0
2.4,1.8,0.3,0.0,0.006,0.006,1.762,1.85,0.0,H4,0.0
2.4,1.8,0.8,0.0,0.074,0.074,1.762,1.85,0.0,H4,0.0
2.4,1.9,-0.3,0.0,0.0,0.0,1.813,1.9,0.0,H4,0.0
2.4,1.9,0.0,0.0,0.0,0.0,1.813,1.9,0.0,H4,0.0
2.4,1.9,0.3,0.0,0.0,0.0,1.813,1.9,0.0,H4,0.0
2.4,1.9,0.8,0.0,0.06,0.06,1.813,1.9,0.0,H4,0.0
2.4,2.0,-0.3,0.0,0.0,0.0,1.862,1.949,0.0,H4,0.0
2.4,2.0,0.0,0.0,0.0,0.0,1.862,1.949,0.0,H4,0.0
2.4,2.0,0.3,0.0,0.0,0.0,1.862,1.949,0.0,H4,0.0
2.4,2.0,0.8,0.0,0.04,0.04,1.862,1.949,0.0,H4,0.0
2.5,1.2,-0.3,0.019,0.012,0.031,1.441,1.535,0.0,H4,0.0
2.5,1.2,0.0,0.025,0.026,0.051,1.441,1.535,0.0,H4,0.0
2.5,1.2,0.3,0.032,0.045,0.077,1.441,1.535,0.0,H4,0.0
2.5,1.2,0.8,0.045,0.096,0.141,1.441,1.535,0.0,H4,0.0
2.5,1.3,-0.3,0.009,0.009,0.018,1.507,1.599,0.0,H4,0.0
2.5,1.3,0.0,0.015,0.022,0.037,1.507,1.599,0.0,H4,0.0
2.5,1.3,0.3,0.021,0.042,0.063,1.507,1.599,0.0,H4,0.0
2.5,1.3,0.8,0.034,0.098,0.132,1.507,1.599,0.0,H4,0.0
2.5,1.4,-0.3,0.0,0.005,0.005,1.569,1.661,0.0,H4,0.0
2.5,1.4,0.0,0.006,0.017,0.023,1.569,1.661,0.0,H4,0.0
2.5,1.4,0.3,0.012,0.037,0.049,1.569,1.661,0.0,H4,0.0
2.5,1.4,0.8,0.024,0.098,0.122,1.569,1.661,0.0,H4,0.0
2.5,1.5,-0.3,0.0,0.001,0.001,1.63,1.72,0.0,H4,0.0
2.5,1.5,0.0,0.0,0.011,0.011,1.63,1.72,0.0,H4,0.0
2.5,1.5,0.3,0.003,0.031,0.034,1.63,1.72,0.0,H4,0.0
2.5,1.5,0.8,0.014,0.096,0.11,1.63,1.72,0.0,H4,0.0
2.5,1.6,-0.3,0.0,0.0,0.0,1.688,1.777,0.0,H4,0.0
2.5,1.6,0.0,0.0,0.005,0.005,1.688,1.777,0.0,H4,0.0
2.5,1.6,0.3,0.0,0.023,0.023,1.688,1.777,0.0,H4,0.0
2.5,1.6,0.8,0.005,0.092,0.097,1.688,1.777,0.0,H4,0.0
2.5,1.7,-0.3,0.0,0.0,0.0,1.744,1.833,0.0,H4,0.0
2.5,1.7,0.0,0.0,0.0,0.0,1.744,1.833,0.0,H4,0.0
2.5,1.7,0.3,0.0,0.014,0.014,1.744,1.833,0.0,H4,0.0
2.5,1.7,0.8,0.0,0.085,0.085,1.744,1.833,0.0,H4,0.0
2.5,1.8,-0.3,0.0,0.0,0.0,1.798,1.886,0.0,H4,0.0
2.5,1.8,0.0,0.0,0.0,0.0,1.798,1.886,0.0,H4,0.0
