mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.2,1.8,0.8,0.0,0.08,0.08,1.687,1.774,0.0,H4,0.0
2.2,1.9,-0.3,0.0,0.0,0.0,1.735,1.823,0.0,H4,0.0
2.2,1.9,0.0,0.0,0.0,0.0,1.735,1.823,0.0,H4,0.0
2.2,1.9,0.3,0.0,0.0,0.0,1.735,1.823,0.0,H4,0.0
2.2,1.9,0.8,0.0,0.065,0.065,1.735,1.823,0.0,H4,0.0
2.2,2.0,-0.3,0.0,0.0,0.0,1.782,1.869,0.0,H4,0.0
2.2,2.0,0.0,0.0,0.0,0.0,1.782,1.869,0.0,H4,0.0
2.2,2.0,0.3,0.0,0.0,0.0,1.782,1.869,0.0,H4,0.0
2.2,2.0,0.8,0.0,0.043,0.043,1.782,1.869,0.0,H4,0.0
2.3,1.2,-0.3,0.018,0.022,0.04,1.385,1.477,0.0,H4,0.0
2.3,1.2,0.0,0.023,0.039,0.062,1.385,1.477,0.0,H4,0.0
2.3,1.2,0.3,0.029,0.062,0.091,1.385,1.477,0.0,H4,0.0
2.3,1.2,0.8,0.041,0.122,0.163,1.385,1.477,0.0,H4,0.0
2.3,1.3,-0.3,0.009,0.014,0.023,1.448,1.539,0.0,H4,0.0
2.3,1.3,0.0,0.014,0.031,0.044,1.448,1.539,0.0,H4,0.0
2.3,1.3,0.3,0.019,0.054,0.073,1.448,1.539,0.0,H4,0.0
2.3,1.3,0.8,0.03,0.119,0.149,1.448,1.539,0.0,H4,0.0
2.3,1.4,-0.3,0.0,0.007,0.007,1.507,1.598,0.0,H4,0.0
2.3,1.4,0.0,0.005,0.022,0.027,1.507,1.598,0.0,H4,0.0
2.3,1.4,0.3,0.01,0.046,0.056,1.507,1.598,0.0,H4,0.0
2.3,1.4,0.8,0.02,0.115,0.135,1.507,1.598,0.0,H4,0.0
2.3,1.5,-0.3,0.0,0.002,0.002,1.565,1.654,0.0,H4,0.0
2.3,1.5,0.0,0.0,0.014,0.014,1.565,1.654,0.0,H4,0.0
2.3,1.5,0.3,0.0,0.037,0.037,1.565,1.654,0.0,H4,0.0
2.3,1.5,0.8,0.011,0.109,0.12,1.565,1.654,0.0,H4,0.0
2.3,1.6,-0.3,0.0,0.0,0.0,1.62,1.709,0.0,H4,0.0
2.3,1.6,0.0,0.0,0.006,0.006,1.62,1.709,0.0,H4,0.0
2.3,1.6,0.3,0.0,0.027,0.027,1.62,1.709,0.0,H4,0.0
2.3,1.6,0.8,0.002,0.101,0.104,1.62,1.709,0.0,H4,0.0
2.3,1.7,-0.3,0.0,0.0,0.0,1.673,1.762,0.0,H4,0.0
2.3,1.7,0.0,0.0,0.0,0.0,1.673,1.762,0.0,H4,0.0
2.3,1.7,0.3,0.0,0.017,0.017,1.673,1.762,0.0,H4,0.0
2.3,1.7,0.8,0.0,0.092,0.092,1.673,1.762,0.0,H4,0.0
2.3,1.8,-0.3,0.0,0.0,0.0,1.725,1.813,0.0,H4,0.0
2.3,1.8,0.0,0.0,0.0,0.0,1.725,1.813,0.0,H4,0.0
2.3,1.8,0.3,0.0,0.007,0.007,1.725,1.813,0.0,H4,0.0
2.3,1.8,0.8,0.0,0.08,0.08,1.725,1.813,0.0,H4,0.0
2.3,1.9,-0.3,0.0,0.0,0.0,1.774,1.862,0.0,H4,0.0
2.3,1.9,0.0,0.0,0.0,0.0,1.774,1.862,0.0,H4,0.0
2.3,1.9,0.3,0.0,0.0,0.0,1.774,1.862,0.0,H4,0.0
2.3,1.9,0.8,0.0,0.064,0.064,1.774,1.862,0.0,H4,0.0
2.3,2.0,-0.3,0.0,0.0,0.0,1.823,1.91,0.0,H4,0.0
2.3,2.0,0.0,0.0,0.0,0.0,1.823,1.91,0.0,H4,0.0
2.3,2.0,0.3,0.0,0.0,0.0,1.823,1.91,0.0,H4,0.0
2.3,2.0,0.8,0.0,0.042,0.042,1.823,1.91,0.0,H4,0.0
2.4,1.2,-0.3,0.019,0.021,0.039,1.413,1.507,0.0,H4,0.0
2.4,1.2,0.0,0.024,0.038,0.062,1.413,1.507,0.0,H4,0.0
2.4,1.2,0.3,0.03,0.061,0.091,1.413,1.507,0.0,H4,0.0
2.4,1.2,0.8,0.043,0.122,0.164,1.413,1.507,0.0,H4,0.0
2.4,1.3,-0.3,0.009,0.013,0.022,1.477,1.569,0.0,H4,0.0
2.4,1.3,0.0,0.014,0.03,0.044,1.477,1.569,0.0,H4,0.0
2.4,1.3,0.3,0.02,0.053,0.074,1.477,1.569,0.0,H4,0.0
2.4,1.3,0.8,0.032,0.119,0.151,1.477,1.569,0.0,H4,0.0
2.4,1.4,-0.3,0.0,0.006,0.007,1.539,1.63,0.0,H4,0.0
2.4,1.4,0.0,0.005,0.021,0.027,1.539,1.63,0.0,H4,0.0
2.4,1.4,0.3,0.011,0.045,0.056,1.539,1.63,0.0,H4,0.0
2.4,1.4,0.8,0.022,0.114,0.137,1.539,1.63,0.0,H4,0.0
2.4,1.5,-0.3,0.0,0.001,0.001,1.598,1.688,0.0,H4,0.0
2.4,1.5,0.0,0.0,0.013,0.013,1.598,1.688,0.0,H4,0.0
2.4,1.5,0.3,0.002,0.036,0.037,1.598,1.688,0.0,H4,0.0
2.4,1.5,0.8,0.013,0.109,0.121,1.598,1.688,0.0,H4,0.0
2.4,1.6,-0.3,0.0,0.0,0.0,1.654,1.744,0.0,H4,0.0
2.4,1.6,0.0,0.0,0.006,0.006,1.654,1.744,0.0,H4,0.0
2.4,1.6,0.3,0.0,0.026,0.026,1.654,1.744,0.0,H4,0.0
2.4,1.6,0.8,0.004,0.101,0.104,1.654,1.744,0.0,H4,0.0
2.4,1.7,-0.3,0.0,0.0,0.0,1.709,1.798,0.0,H4,0.0
2.4,1.7,0.0,0.0,0.0,0.0,1.709,1.798,0.0,H4,0.0
2.4,1.7,0.3,0.0,0.016,0.016,1.709,1.798,0.0,H4,0.0
2.4,1.7,0.8,0.0,0.091,0.091,1.709,1.798,0.0,H4,0.0
2.4,1.8,-0.3,0.0,0.0,0.0,1.762,1.85,0.0,H4,0.0
2.4,1.8,0.0,0.0,0.0,0.0,1.762,1.85,0.0,H4,0.0
2.4,1.8,0.3,0.0,0.007,0.007,1.762,1.85,0.0,H4,0.0
2.4,1.8,0.8,0.0,0.079,0.079,1.762,1.85,0.0,H4,0.0
2.4,1.9,-0.3,0.0,0.0,0.0,1.813,1.9,0.0,H4,0.0
2.4,1.9,0.0,0.0,0.0,0.0,1.813,1.9,0.0,H4,0.0
2.4,1.9,0.3,0.0,0.0,0.0,1.813,1.9,0.0,H4,0.0
2.4,1.9,0.8,0.0,0.064,0.064,1.813,1.9,0.0,H4,0.0
2.4,2.0,-0.3,0.0,0.0,0.0,1.862,1.949,0.0,H4,0.0
2.4,2.0,0.0,0.0,0.0,0.0,1.862,1.949,0.0,H4,0.0
2.4,2.0,0.3,0.0,0.0,0.0,1.862,1.949,0.0,H4,0.0
2.4,2.0,0.8,0.0,0.042,0.042,1.862,1.949,0.0,H4,0.0
2.5,1.2,-0.3,0.019,0.02,0.039,1.441,1.535,0.0,H4,0.0
2.5,1.2,0.0,0.025,0.037,0.062,1.441,1.535,0.0,H4,0.0
2.5,1.2,0.3,0.032,0.06,0.091,1.441,1.535,0.0,H4,0.0
2.5,1.2,0.8,0.045,0.121,0.166,1.441,1.535,0.0,H4,0.0
2.5,1.3,-0.3,0.009,0.012,0.022,1.507,1.599,0.0,H4,0.0
2.5,1.3,0.0,0.015,0.029,0.044,1.507,1.599,0.0,H4,0.0
2.5,1.3,0.3,0.021,0.052,0.074,1.507,1.599,0.0,H4,0.0
2.5,1.3,0.8,0.034,0.118,0.152,1.507,1.599,0.0,H4,0.0
2.5,1.4,-0.3,0.0,0.006,0.006,1.569,1.661,0.0,H4,0.0
2.5,1.4,0.0,0.006,0.02,0.026,1.569,1.661,0.0,H4,0.0
2.5,1.4,0.3,0.012,0.044,0.056,1.569,1.661,0.0,H4,0.0
2.5,1.4,0.8,0.024,0.114,0.138,1.569,1.661,0.0,H4,0.0
2.5,1.5,-0.3,0.0,0.001,0.001,1.63,1.72,0.0,H4,0.0
2.5,1.5,0.0,0.0,0.012,0.012,1.63,1.72,0.0,H4,0.0
2.5,1.5,0.3,0.003,0.035,0.037,1.63,1.72,0.0,H4,0.0
2.5,1.5,0.8,0.014,0.108,0.122,1.63,1.72,0.0,H4,0.0
2.5,1.6,-0.3,0.0,0.0,0.0,1.688,1.777,0.0,H4,0.0
2.5,1.6,0.0,0.0,0.005,0.005,1.688,1.777,0.0,H4,0.0
2.5,1.6,0.3,0.0,0.025,0.025,1.688,1.777,0.0,H4,0.0
2.5,1.6,0.8,0.005,0.1,0.105,1.688,1.777,0.0,H4,0.0
2.5,1.7,-0.3,0.0,0.0,0.0,1.744,1.833,0.0,H4,0.0
2.5,1.7,0.0,0.0,0.0,0.0,1.744,1.833,0.0,H4,0.0
2.5,1.7,0.3,0.0,0.015,0.015,1.744,1.833,0.0,H4,0.0
