mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.25,1.2,0.8,0.039,0.111,0.15,1.345,1.486,0.0,H4,0.0
2.25,1.4,-0.3,0.0,0.007,0.007,1.47,1.601,0.0,H4,0.0
2.25,1.4,0.0,0.004,0.021,0.025,1.47,1.601,0.0,H4,0.0
2.25,1.4,0.3,0.009,0.043,0.052,1.47,1.601,0.0,H4,0.0
2.25,1.4,0.8,0.019,0.107,0.126,1.47,1.601,0.0,H4,0.0
2.25,1.6,-0.3,0.0,0.0,0.0,1.584,1.708,0.0,H4,0.0
2.25,1.6,0.0,0.0,0.006,0.006,1.584,1.708,0.0,H4,0.0
2.25,1.6,0.3,0.0,0.025,0.025,1.584,1.708,0.0,H4,0.0
2.25,1.6,0.8,0.001,0.095,0.097,1.584,1.708,0.0,H4,0.0
2.25,1.8,-0.3,0.0,0.0,0.0,1.69,1.808,0.0,H4,0.0
2.25,1.8,0.0,0.0,0.0,0.0,1.69,1.808,0.0,H4,0.0
2.25,1.8,0.3,0.0,0.007,0.007,1.69,1.808,0.0,H4,0.0
2.25,1.8,0.8,0.0,0.075,0.075,1.69,1.808,0.0,H4,0.0
2.25,2.0,-0.3,0.0,0.0,0.0,1.789,1.903,0.0,H4,0.0
2.25,2.0,0.0,0.0,0.0,0.0,1.789,1.903,0.0,H4,0.0
2.25,2.0,0.3,0.0,0.0,0.0,1.789,1.903,0.0,H4,0.0
2.25,2.0,0.8,0.0,0.04,0.04,1.789,1.903,0.0,H4,0.0
2.3,1.2,-0.3,0.018,0.02,0.038,1.359,1.501,0.0,H4,0.0
2.3,1.2,0.0,0.023,0.035,0.058,1.359,1.501,0.0,H4,0.0
2.3,1.2,0.3,0.029,0.056,0.085,1.359,1.501,0.0,H4,0.0
2.3,1.2,0.8,0.041,0.111,0.151,1.359,1.501,0.0,H4,0.0
2.3,1.4,-0.3,0.0,0.007,0.007,1.486,1.618,0.0,H4,0.0
2.3,1.4,0.0,0.005,0.021,0.025,1.486,1.618,0.0,H4,0.0
2.3,1.4,0.3,0.01,0.042,0.052,1.486,1.618,0.0,H4,0.0
2.3,1.4,0.8,0.02,0.106,0.127,1.486,1.618,0.0,H4,0.0
2.3,1.6,-0.3,0.0,0.0,0.0,1.601,1.727,0.0,H4,0.0
2.3,1.6,0.0,0.0,0.006,0.006,1.601,1.727,0.0,H4,0.0
2.3,1.6,0.3,0.0,0.025,0.025,1.601,1.727,0.0,H4,0.0
2.3,1.6,0.8,0.002,0.095,0.097,1.601,1.727,0.0,H4,0.0
2.3,1.8,-0.3,0.0,0.0,0.0,1.708,1.828,0.0,H4,0.0
2.3,1.8,0.0,0.0,0.0,0.0,1.708,1.828,0.0,H4,0.0
2.3,1.8,0.3,0.0,0.007,0.007,1.708,1.828,0.0,H4,0.0
2.3,1.8,0.8,0.0,0.075,0.075,1.708,1.828,0.0,H4,0.0
2.3,2.0,-0.3,0.0,0.0,0.0,1.808,1.923,0.0,H4,0.0
2.3,2.0,0.0,0.0,0.0,0.0,1.808,1.923,0.0,H4,0.0
2.3,2.0,0.3,0.0,0.0,0.0,1.808,1.923,0.0,H4,0.0
2.3,2.0,0.8,0.0,0.04,0.04,1.808,1.923,0.0,H4,0.0
2.35,1.2,-0.3,0.018,0.019,0.037,1.373,1.516,0.0,H4,0.0
2.35,1.2,0.0,0.024,0.035,0.058,1.373,1.516,0.0,H4,0.0
2.35,1.2,0.3,0.03,0.055,0.085,1.373,1.516,0.0,H4,0.0
2.35,1.2,0.8,0.042,0.11,0.152,1.373,1.516,0.0,H4,0.0
2.35,1.4,-0.3,0.0,0.006,0.006,1.501,1.635,0.0,H4,0.0
2.35,1.4,0.0,0.005,0.02,0.025,1.501,1.635,0.0,H4,0.0
2.35,1.4,0.3,0.01,0.042,0.052,1.501,1.635,0.0,H4,0.0
2.35,1.4,0.8,0.021,0.106,0.127,1.501,1.635,0.0,H4,0.0
2.35,1.6,-0.3,0.0,0.0,0.0,1.618,1.744,0.0,H4,0.0
2.35,1.6,0.0,0.0,0.006,0.006,1.618,1.744,0.0,H4,0.0
2.35,1.6,0.3,0.0,0.025,0.025,1.618,1.744,0.0,H4,0.0
2.35,1.6,0.8,0.003,0.094,0.097,1.618,1.744,0.0,H4,0.0
2.35,1.8,-0.3,0.0,0.0,0.0,1.727,1.847,0.0,H4,0.0
2.35,1.8,0.0,0.0,0.0,0.0,1.727,1.847,0.0,H4,0.0
2.35,1.8,0.3,0.0,0.007,0.007,1.727,1.847,0.0,H4,0.0
2.35,1.8,0.8,0.0,0.075,0.075,1.727,1.847,0.0,H4,0.0
2.35,2.0,-0.3,0.0,0.0,0.0,1.828,1.943,0.0,H4,0.0
2.35,2.0,0.0,0.0,0.0,0.0,1.828,1.943,0.0,H4,0.0
2.35,2.0,0.3,0.0,0.0,0.0,1.828,1.943,0.0,H4,0.0
2.35,2.0,0.8,0.0,0.04,0.04,1.828,1.943,0.0,H4,0.0
2.4,1.2,-0.3,0.019,0.019,0.037,1.387,1.531,0.0,H4,0.0
2.4,1.2,0.0,0.024,0.034,0.058,1.387,1.531,0.0,H4,0.0
2.4,1.2,0.3,0.03,0.055,0.085,1.387,1.531,0.0,H4,0.0
2.4,1.2,0.8,0.043,0.109,0.152,1.387,1.531,0.0,H4,0.0
2.4,1.4,-0.3,0.0,0.006,0.006,1.516,1.651,0.0,H4,0.0
2.4,1.4,0.0,0.005,0.02,0.025,1.516,1.651,0.0,H4,0.0
2.4,1.4,0.3,0.011,0.041,0.052,1.516,1.651,0.0,H4,0.0
2.4,1.4,0.8,0.022,0.105,0.127,1.516,1.651,0.0,H4,0.0
2.4,1.6,-0.3,0.0,0.0,0.0,1.635,1.762,0.0,H4,0.0
2.4,1.6,0.0,0.0,0.005,0.005,1.635,1.762,0.0,H4,0.0
2.4,1.6,0.3,0.0,0.024,0.024,1.635,1.762,0.0,H4,0.0
2.4,1.6,0.8,0.004,0.094,0.097,1.635,1.762,0.0,H4,0.0
2.4,1.8,-0.3,0.0,0.0,0.0,1.744,1.866,0.0,H4,0.0
2.4,1.8,0.0,0.0,0.0,0.0,1.744,1.866,0.0,H4,0.0
2.4,1.8,0.3,0.0,0.006,0.006,1.744,1.866,0.0,H4,0.0
2.4,1.8,0.8,0.0,0.074,0.074,1.744,1.866,0.0,H4,0.0
2.4,2.0,-0.3,0.0,0.0,0.0,1.847,1.964,0.0,H4,0.0
2.4,2.0,0.0,0.0,0.0,0.0,1.847,1.964,0.0,H4,0.0
2.4,2.0,0.3,0.0,0.0,0.0,1.847,1.964,0.0,H4,0.0
2.4,2.0,0.8,0.0,0.04,0.04,1.847,1.964,0.0,H4,0.0
2.45,1.2,-0.3,0.019,0.018,0.037,1.4,1.546,0.0,H4,0.0
2.45,1.2,0.0,0.025,0.033,0.058,1.4,1.546,0.0,H4,0.0
2.45,1.2,0.3,0.031,0.054,0.085,1.4,1.546,0.0,H4,0.0
2.45,1.2,0.8,0.044,0.109,0.153,1.4,1.546,0.0,H4,0.0
2.45,1.4,-0.3,0.0,0.006,0.006,1.531,1.667,0.0,H4,0.0
2.45,1.4,0.0,0.006,0.019,0.025,1.531,1.667,0.0,H4,0.0
2.45,1.4,0.3,0.011,0.041,0.052,1.531,1.667,0.0,H4,0.0
2.45,1.4,0.8,0.023,0.105,0.128,1.531,1.667,0.0,H4,0.0
2.45,1.6,-0.3,0.0,0.0,0.0,1.651,1.779,0.0,H4,0.0
2.45,1.6,0.0,0.0,0.005,0.005,1.651,1.779,0.0,H4,0.0
2.45,1.6,0.3,0.0,0.024,0.024,1.651,1.779,0.0,H4,0.0
2.45,1.6,0.8,0.004,0.094,0.098,1.651,1.779,0.0,H4,0.0
2.45,1.8,-0.3,0.0,0.0,0.0,1.762,1.885,0.0,H4,0.0
2.45,1.8,0.0,0.0,0.0,0.0,1.762,1.885,0.0,H4,0.0
2.45,1.8,0.3,0.0,0.006,0.006,1.762,1.885,0.0,H4,0.0
2.45,1.8,0.8,0.0,0.074,0.074,1.762,1.885,0.0,H4,0.0
2.45,2.0,-0.3,0.0,0.0,0.0,1.866,1.983,0.0,H4,0.0
2.45,2.0,0.0,0.0,0.0,0.0,1.866,1.983,0.0,H4,0.0
2.45,2.0,0.3,0.0,0.0,0.0,1.866,1.983,0.0,H4,0.0
2.45,2.0,0.8,0.0,0.039,0.039,1.866,1.983,0.0,H4,0.0
2.5,1.2,-0.3,0.019,0.017,0.037,1.414,1.56,0.0,H4,0.0
2.5,1.2,0.0,0.025,0.033,0.058,1.414,1.56,0.0,H4,0.0
2.5,1.2,0.3,0.032,0.053,0.085,1.414,1.56,0.0,H4,0.0
2.5,1.2,0.8,0.045,0.108,0.153,1.414,1.56,0.0,H4,0.0
2.5,1.4,-0.3,0.0,0.005,0.006,1.546,1.683,0.0,H4,0.0
2.5,1.4,0.0,0.006,0.019,0.024,1.546,1.683,0.0,H4,0.0
2.5,1.4,0.3,0.012,0.04,0.052,1.546,1.683,0.0,H4,0.0
2.5,1.4,0.8,0.024,0.104,0.128,1.546,1.683,0.0,H4,0.0
2.5,1.6,-0.3,0.0,0.0,0.0,1.667,1.797,0.0,H4,0.0
2.5,1.6,0.0,0.0,0.005,0.005,1.667,1.797,0.0,H4,0.0
2.5,1.6,0.3,0.0,0.023,0.023,1.667,1.797,0.0,H4,0.0
2.5,1.6,0.8,0.005,0.093,0.098,1.667,1.797,0.0,H4,0.0
2.5,1.8,-0.3,0.0,0.0,0.0,1.779,1.903,0.0,H4,0.0
2.5,1.8,0.0,0.0,0.0,0.0,1.779,1.903,0.0,H4,0.0
2.5,1.8,0.3,0.0,0.006,0.006,1.779,1.903,0.0,H4,0.0
