mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.2,1.8,0.0,0.0,0.0,0.0,1.687,1.774,0.0,SLy,0.0
2.2,1.8,0.3,0.0,0.0,0.0,1.687,1.774,0.0,SLy,0.0
2.2,1.8,0.8,0.0,0.039,0.039,1.687,1.774,0.0,SLy,0.0
2.2,1.9,-0.3,0.0,0.0,0.0,1.735,1.823,0.0,SLy,0.0
2.2,1.9,0.0,0.0,0.0,0.0,1.735,1.823,0.0,SLy,0.0
2.2,1.9,0.3,0.0,0.0,0.0,1.735,1.823,0.0,SLy,0.0
2.2,1.9,0.8,0.0,0.026,0.026,1.735,1.823,0.0,SLy,0.0
2.2,2.0,-0.3,0.0,0.0,0.0,1.782,1.869,0.0,SLy,0.0
2.2,2.0,0.0,0.0,0.0,0.0,1.782,1.869,0.0,SLy,0.0
2.2,2.0,0.3,0.0,0.0,0.0,1.782,1.869,0.0,SLy,0.0
2.2,2.0,0.8,0.0,0.011,0.011,1.782,1.869,0.0,SLy,0.0
2.3,1.2,-0.3,0.002,0.004,0.006,1.385,1.477,0.0,SLy,0.0
2.3,1.2,0.0,0.007,0.014,0.021,1.385,1.477,0.0,SLy,0.0
2.3,1.2,0.3,0.013,0.031,0.044,1.385,1.477,0.0,SLy,0.0
2.3,1.2,0.8,0.025,0.083,0.108,1.385,1.477,0.0,SLy,0.0
2.3,1.3,-0.3,0.0,0.0,0.0,1.448,1.539,0.0,SLy,0.0
2.3,1.3,0.0,0.0,0.009,0.009,1.448,1.539,0.0,SLy,0.0
2.3,1.3,0.3,0.003,0.026,0.029,1.448,1.539,0.0,SLy,0.0
2.3,1.3,0.8,0.014,0.081,0.096,1.448,1.539,0.0,SLy,0.0
2.3,1.4,-0.3,0.0,0.0,0.0,1.507,1.598,0.0,SLy,0.0
2.3,1.4,0.0,0.0,0.003,0.003,1.507,1.598,0.0,SLy,0.0
2.3,1.4,0.3,0.0,0.018,0.018,1.507,1.598,0.0,SLy,0.0
2.3,1.4,0.8,0.005,0.077,0.082,1.507,1.598,0.0,SLy,0.0
2.3,1.5,-0.3,0.0,0.0,0.0,1.565,1.654,0.0,SLy,0.0
2.3,1.5,0.0,0.0,0.0,0.0,1.565,1.654,0.0,SLy,0.0
2.3,1.5,0.3,0.0,0.01,0.01,1.565,1.654,0.0,SLy,0.0
2.3,1.5,0.8,0.0,0.071,0.071,1.565,1.654,0.0,SLy,0.0
2.3,1.6,-0.3,0.0,0.0,0.0,1.62,1.709,0.0,SLy,0.0
2.3,1.6,0.0,0.0,0.0,0.0,1.62,1.709,0.0,SLy,0.0
2.3,1.6,0.3,0.0,0.004,0.004,1.62,1.709,0.0,SLy,0.0
2.3,1.6,0.8,0.0,0.062,0.062,1.62,1.709,0.0,SLy,0.0
2.3,1.7,-0.3,0.0,0.0,0.0,1.673,1.762,0.0,SLy,0.0
2.3,1.7,0.0,0.0,0.0,0.0,1.673,1.762,0.0,SLy,0.0
2.3,1.7,0.3,0.0,0.0,0.0,1.673,1.762,0.0,SLy,0.0
2.3,1.7,0.8,0.0,0.051,0.051,1.673,1.762,0.0,SLy,0.0
2.3,1.8,-0.3,0.0,0.0,0.0,1.725,1.813,0.0,SLy,0.0
2.3,1.8,0.0,0.0,0.0,0.0,1.725,1.813,0.0,SLy,0.0
2.3,1.8,0.3,0.0,0.0,0.0,1.725,1.813,0.0,SLy,0.0
2.3,1.8,0.8,0.0,0.039,0.039,1.725,1.813,0.0,SLy,0.0
2.3,1.9,-0.3,0.0,0.0,0.0,1.774,1.862,0.0,SLy,0.0
2.3,1.9,0.0,0.0,0.0,0.0,1.774,1.862,0.0,SLy,0.0
2.3,1.9,0.3,0.0,0.0,0.0,1.774,1.862,0.0,SLy,0.0
2.3,1.9,0.8,0.0,0.025,0.025,1.774,1.862,0.0,SLy,0.0
2.3,2.0,-0.3,0.0,0.0,0.0,1.823,1.91,0.0,SLy,0.0
